packet_id,entity,exposure_basis_usd,remaining_gap,source_form,named_agreement,accession,action,source_uri
adjudication:ccc086bb4f1fa241,Talen Energy Corp,2180000000.0,determine collateral scope,EX-10_exhibit,CREDIT AGREEMENT,000162253625000037,RE_EXTRACT_DEPTH,https://www.sec.gov/Archives/edgar/data/1622536/000162253625000037/ex101amendmentno5tocredita.htm
adjudication:ebf983da41733754,Talen Energy Corp,2180000000.0,determine recourse and guarantee scope,EX-10_exhibit,Credit Agreement,000162253626000042,RE_EXTRACT_DEPTH,https://www.sec.gov/Archives/edgar/data/1622536/000162253626000042/ex101amendmentno6tocredita.htm
adjudication:c1e88a8ecef6c4fe,"Construction Partners, Inc.",2145800000.0,determine recourse and guarantee scope,other,Credit Agreement,000119312525181932,FETCH_EXHIBIT_FROM_ACCESSION,https://www.sec.gov/Archives/edgar/data/1718227/000119312525181932/d149800dex991.htm
adjudication:456075a3a2615c84,"Paycom Software, Inc.",2125000000.0,determine collateral scope,other,Credit Agreement,000119312526173704,FETCH_EXHIBIT_FROM_ACCESSION,https://www.sec.gov/Archives/edgar/data/1590955/000119312526173704/payc-20260423.htm
adjudication:312fb657b7e61b6a,SMITHFIELD FOODS INC,2100000000.0,determine collateral scope,other,Credit Agreement,000162828025005129,FETCH_EXHIBIT_FROM_ACCESSION,https://www.sec.gov/Archives/edgar/data/91388/000162828025005129/sfd-20250212.htm
adjudication:bbf8e801ca621960,"Amneal Pharmaceuticals, Inc.",2100000000.0,determine recourse and guarantee scope,other,Credit Agreement,000172312826000008,FETCH_EXHIBIT_FROM_ACCESSION,https://www.sec.gov/Archives/edgar/data/1723128/000172312826000008/amrx-q42025ex991.htm
adjudication:d9b8aeb0d9699b15,"Amneal Pharmaceuticals, Inc.",2100000000.0,determine recourse and guarantee scope,other,Credit Agreement,000172312825000059,FETCH_EXHIBIT_FROM_ACCESSION,https://www.sec.gov/Archives/edgar/data/1723128/000172312825000059/amrx-q32025ex991.htm
adjudication:448f205fe61e0728,"Versant Media Group, Inc.",2000000000.0,determine recourse and guarantee scope,EX-10_exhibit,Credit Agreement,000095010326000080,RE_EXTRACT_DEPTH,https://www.sec.gov/Archives/edgar/data/2067876/000095010326000080/dp239186_ex1004.htm
adjudication:9f7048d41103d694,WORLD KINECT CORP,2000000000.0,determine collateral scope,8-K_body,Credit Agreement,000119312525280505,FETCH_EXHIBIT_FROM_ACCESSION,https://www.sec.gov/Archives/edgar/data/789460/000119312525280505/d809353d8k.htm
adjudication:18dedecbfb2e37ee,INSIGHT ENTERPRISES INC,2000000000.0,determine collateral scope,other,credit agreement,000093269625000035,FETCH_EXHIBIT_FROM_ACCESSION,https://www.sec.gov/Archives/edgar/data/932696/000093269625000035/nsit-20251219.htm
adjudication:f2c697e935af2d08,Ares Management Corp,2000000000.0,determine collateral scope,other,Credit Agreement,000162828024014594,FETCH_EXHIBIT_FROM_ACCESSION,https://www.sec.gov/Archives/edgar/data/1176948/000162828024014594/ares-20240328.htm
adjudication:01af0b698561c740,Fortive Corp,2000000000.0,determine collateral scope,EX-10_exhibit,Credit Agreement,000110465926032724,RE_EXTRACT_DEPTH,https://www.sec.gov/Archives/edgar/data/1659166/000110465926032724/tm268842d1_ex10-1.htm
adjudication:d2eeb582a00cda94,LOWES COMPANIES INC,2000000000.0,determine collateral scope,EX-10_exhibit,Credit Agreement,000119312525208264,RE_EXTRACT_DEPTH,https://www.sec.gov/Archives/edgar/data/60667/000119312525208264/d56079dex101.htm
adjudication:b599dd6f703a363c,Eaton Corp plc,2000000000.0,determine collateral scope,8-K_body,credit agreement,000114036126008836,FETCH_EXHIBIT_FROM_ACCESSION,https://www.sec.gov/Archives/edgar/data/1551182/000114036126008836/ef20067414_8k.htm
adjudication:904f76d58bc9fff6,NSTAR ELECTRIC CO,2000000000.0,determine collateral scope,EX-4_exhibit,Credit Agreement,000007274124000023,RE_EXTRACT_DEPTH,https://www.sec.gov/Archives/edgar/data/13372/000007274124000023/ex4thirdamendmenteversource.htm
adjudication:f25777791a8f8237,LEAR CORP,2000000000.0,determine collateral scope,other,credit agreement,000084216225000065,FETCH_EXHIBIT_FROM_ACCESSION,https://www.sec.gov/Archives/edgar/data/842162/000084216225000065/lear-20250724.htm
adjudication:fb469a22f63b6bba,BIOGEN INC.,2000000000.0,determine collateral scope,EX-10_exhibit,CREDIT AGREEMENT,000119312526222908,RE_EXTRACT_DEPTH,https://www.sec.gov/Archives/edgar/data/875045/000119312526222908/d109852dex102.htm
adjudication:1b685f31339ff484,SANMINA CORP,2000000000.0,determine collateral scope,8-K_body,Credit Agreement,000110465925071964,FETCH_EXHIBIT_FROM_ACCESSION,https://www.sec.gov/Archives/edgar/data/897723/000110465925071964/tm2522057d1_8k.htm
adjudication:20c57720101871fb,Fortive Corp,2000000000.0,determine collateral scope,8-K_body,credit agreement,000110465926032724,FETCH_EXHIBIT_FROM_ACCESSION,https://www.sec.gov/Archives/edgar/data/1659166/000110465926032724/tm268842d1_8k.htm
adjudication:58eba89feab9fedd,SM Energy Co,2000000000.0,determine collateral scope,8-K_body,Credit Agreement,000110465926008380,FETCH_EXHIBIT_FROM_ACCESSION,https://www.sec.gov/Archives/edgar/data/893538/000110465926008380/tm264415d2_8k.htm
adjudication:f2ab067fff942a69,LOWES COMPANIES INC,2000000000.0,determine collateral scope,EX-10_exhibit,Credit Agreement,000119312525208264,RE_EXTRACT_DEPTH,https://www.sec.gov/Archives/edgar/data/60667/000119312525208264/d56079dex104.htm
adjudication:d8c17c1ff63f3717,BLUE OWL CAPITAL INC.,2000000000.0,determine collateral scope,8-K_body,Credit Agreement,000119312523178740,FETCH_EXHIBIT_FROM_ACCESSION,https://www.sec.gov/Archives/edgar/data/1823945/000119312523178740/d494019d8k.htm
